readId	equalMatches
137:412|2a848440-703c-4721-bda2-cee93bbf11ba	22
131:345|f0b16690-957e-44a5-9311-b9ff29e6a123	22
103:395|55a3d803-164a-46b8-9e44-8d2a26660a33	22
130:365|d930becb-ebab-473a-a154-2b04e81fffe5	22
104:332|1b5fd6c2-3ce6-49fc-b6ea-f4436504bad3	22
122:354|53cfb4f5-e732-41e3-a1c6-00338c7edbd5	3162
127:335|4dbb708c-cdf9-415f-a7b9-215eadb0dd1b	3162
138:360|d07b7860-5679-464d-a827-792915bd8c73	3162
130:2324|4de08ed3-0115-4ed1-99dd-3d87db8939f9	23
123:2031|5aac9a1f-757f-4544-9426-ef357a70321d	23
111:2040|270e573e-9f01-4930-a6b8-91925f27d50a	23
109:2019|1ec986c4-9d8f-4e5f-a28e-f7e23ed9e35b	23
131:1261|7e76ef05-849d-4c9c-ada2-bced2a0bfb2d	23
125:1199|b70a60f3-2000-4065-98f5-ffd27bb1009e	23
138:1224|765cc6df-5890-4dae-a229-f366fff45d88	23
140:1334|f72600f0-8320-4da1-af38-39ad4d9e2125	23
109:1171|51eef971-4f16-4d7a-ab98-d979a41e8219	23
131:322|ddb88eb3-dad6-4853-aa70-ae5aec23fc5c	3361
110:1049|0efaef21-7d6d-4901-9738-8cd392b4cf0a	24
112:553|cd3f00af-4e16-4aea-9d98-fff988b7da92	25
116:544|b3184b65-4d27-4d13-a9d1-a9d6bf4cea83	25
137:559|59ca9a99-ef9a-48c6-9ca2-a8e9ed557c76	25
117:530|feb847ec-d0f1-43b3-82a4-94abbd1b391d	25
130:983|af22cb96-1b74-4e75-83b6-e5f11e6d71aa	26
126:962|2e9f3e05-8adc-45fa-b1c0-95d8542e1884	26
126:968|1ee8d0a6-c24c-4272-9448-2a616ff91cc6	26
131:1013|4b7349cd-b3c7-4830-9d33-d8c87950ea36	26
136:1008|53cfd684-6591-4f91-baf0-9f0580fb173d	26
295:1142|847abf23-a715-44dc-ba41-d0455cc8b77c	26
134:979|0defadcf-6f12-4806-80cc-145fc6f84e0f	26
104:837|a733857b-3fbd-447f-9aff-54473f80b368	1955
111:2525|b9233889-568c-43b7-b3ae-60d1c586b0d8	1955
107:2474|2dfafb2d-c677-48e1-a3ba-9ad423dfcc59	1955
87:815|a44884de-9478-403a-bbdb-f78c662d4b78	1955
104:820|93b11ace-0fba-48be-8339-06a0179146eb	1955
140:2534|9d9a625e-c870-4b32-8198-23f222ec203e	1955
108:582|7675903c-404e-435f-98f3-baaaed0121f5	27
101:587|537bd7c1-4a88-48b1-8c23-a6aee315210f	27
115:597|e33e45f2-e3e9-49e4-a981-42ee15eb4f95	27
135:608|a3f61de8-0be4-445e-b727-212f29690606	27
102:581|2b365c31-f48c-460a-b5e4-c658b0ad4367	27
111:892|71b99e1a-3dae-4cbd-954b-6a8ce887b247	27
109:585|9b67597e-236f-4c2d-937f-861a1316476a	27
114:591|b68c5c3f-9de2-4081-b49b-5f87363ce96f	27
